member,event_id,scenario,time,lat,lon,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_adjusted_thermo_DL_gaussian,pn_analogue_sparse_gaussian
r1i1p1f1,0,factual,2004-02-15 12:00:00,43.774647,50.75,0.9286117520490639,0.2533354455103236,0.7854857339773937,0.9821424408723474,0.291017026282806,0.9116741056358189
r1i1p1f1,1,factual,2004-03-16 12:00:00,79.93372,288.38235,0.9823319247504176,0.0,0.9673020465165513,0.999296025082678,0.9335286264439808,0.9485509491649285
r1i1p1f1,2,factual,2004-06-16 00:00:00,-72.35103,43.23077,0.7616286811033783,0.0,0.8766260292216679,0.9959130783558887,0.9707616367703702,0.9999631004372124
r1i1p1f1,3,factual,2004-07-16 12:00:00,-20.281693,131.44737,0.9701473878189865,0.950180405135553,0.8745621808228581,0.9998875396202371,0.9351015292411081,0.9697694709474662
r1i1p1f1,4,factual,2004-12-16 12:00:00,63.05801,151.65254,0.9959773883506032,0.9999895540386163,0.9692016553133412,0.9999999998655877,0.9937816788163383,0.9999988377570603
r1i1p1f1,5,factual,2005-02-15 00:00:00,-25.56338,126.875,0.9275127519515505,0.8341220994963976,0.7145157392889641,0.9940033624883744,0.9048123483690829,0.9999395803961195
r1i1p1f1,6,factual,2005-03-16 12:00:00,-79.66414,150.0,0.7883903413608967,0.0,0.9288172604160141,0.9941975486950959,0.9159017557727515,0.998636798110675
r1i1p1f1,7,factual,2005-05-16 12:00:00,-19.54471,21.744186,0.9959620462289083,0.9999999999926181,0.9871450156372207,0.9999786548687478,0.9898271616493637,0.9999999982733283
r1i1p1f1,8,factual,2005-08-16 12:00:00,-81.61971,235.0,0.625358914463684,0.0,0.6535920872473961,0.7563605472512726,0.9107939187251968,0.9972092101058168
r1i1p1f1,9,factual,2005-08-16 12:00:00,-80.70422,271.80554,0.9383490131947599,0.6952777483810645,0.9704180897531518,0.9996768522172761,0.9885537574815053,0.41678284624108475
r1i1p1f1,10,factual,2005-08-16 12:00:00,-76.71771,225.65218,0.5933444178819778,0.0,0.6844060716707907,0.7872392118724889,0.9101140223351126,-6.6803425328883925
r1i1p1f1,11,factual,2005-10-16 12:00:00,43.22535,252.0,0.8938281548816315,0.989364977968299,0.9590660185213895,0.9989469236350358,0.9379498019506346,0.7007794261523868
r1i1p1f1,12,factual,2005-12-16 12:00:00,-6.443661,321.04166,0.9999980895903312,0.0,0.9999999996836678,0.9999999999999997,0.9990947786155605,0.9999999819272286
r1i1p1f1,13,factual,2005-12-16 12:00:00,-0.19501622,306.53845,0.9998714439977903,0.9983178647888428,0.9720073495025787,0.9997914167055244,0.9994268643105486,0.9999999737635955
r1i1p1f1,14,factual,2006-02-15 00:00:00,51.126755,101.5,0.9070783811592016,0.9747255833792545,0.9467474348837471,0.9705471543985414,0.9014424162671384,-1.1327527390008165
