member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_50_gaussian,pn_analogues_local_gaussian,pn_analogues_lasso_gaussian
r1i1p1f1,0,factual,2004-02-15 12:00:00,43.774647,50.75,0.8687487334780514,0.9286117520490639,0.47830150174710695,0.0,0.9870959555226845
r1i1p1f1,1,factual,2004-06-16 00:00:00,-72.35103,43.23077,0.7208763116210621,0.7616286811033783,0.4888912651291618,0.0,0.979187889204933
r1i1p1f1,2,factual,2004-12-16 12:00:00,63.05801,151.65254,0.8884479509240867,0.9959773883506032,0.5242507079277122,0.0,0.0
r1i1p1f1,3,factual,2005-05-16 12:00:00,-19.54471,21.744186,0.6424604113543284,0.9959620462289083,0.45671763961222844,0.9995955434851564,0.9999005375972363
r1i1p1f1,4,factual,2006-04-16 00:00:00,51.557922,75.0,0.9777538777249835,0.8721582942990905,0.4906886230614247,0.9962894341865106,0.9995728836258502
r1i1p1f1,5,factual,2006-12-16 12:00:00,52.57959,289.45206,0.9524195300303854,0.9956115409421696,0.9136957255731345,0.0,0.0
r1i1p1f1,6,factual,2008-01-16 12:00:00,64.198456,69.65909,0.9993347108365538,0.9497540111792311,0.6925793936961989,0.0,0.7921374545482736
r1i1p1f1,7,factual,2008-07-16 12:00:00,-83.123245,76.3125,0.9423587848987033,0.8174511446999224,0.6082771467209227,0.0,0.0
r1i1p1f1,8,factual,2009-01-16 12:00:00,68.59156,310.1389,0.9938904703173123,0.9883128534961962,0.7232952627051851,0.0,0.988297693718604
r1i1p1f1,9,factual,2009-07-16 12:00:00,21.218615,81.25,0.9302403673897031,0.9978611251116141,0.7130554341940545,0.782876229244804,0.9993881953681752
r1i1p1f1,10,factual,2009-11-16 00:00:00,-14.2922535,312.8125,0.8839679523420675,0.999853063754956,0.7370115429362045,0.9999380183645193,0.9999999999999889
r1i1p1f1,11,factual,2009-11-16 00:00:00,17.267609,8.222222,0.7587163592239398,0.9958365448414737,0.32813014204500135,0.7955083406457224,0.9994883882853406
r1i1p1f1,12,factual,2010-01-16 12:00:00,-0.15845072,21.328125,0.584256137471336,0.9999952437722838,0.6724121539145862,0.9990621373692881,1.0
r1i1p1f1,13,factual,2010-02-15 00:00:00,-24.671364,137.22223,0.6285062234128933,0.9816649867162,0.3932996886563417,0.9595727656409967,0.9999870595992971
r1i1p1f1,14,factual,2010-06-16 00:00:00,-80.511604,340.34927,0.998102538017992,0.8276060802881613,0.8678121246224156,0.008217179126445151,0.7686041232374724
r1i1p1f1,15,factual,2010-06-16 00:00:00,-77.601234,11.666667,0.9990230065142224,0.8000685815268175,0.788423006009729,0.9550939699923352,0.29459741443765997
r1i1p1f1,16,factual,2010-09-16 00:00:00,-28.896233,124.84694,0.8661573115524459,0.9870024363174175,0.7480197213059525,0.9956235763415962,0.9999995826264407
r1i1p1f1,17,factual,2010-12-16 12:00:00,68.38157,245.68182,0.9811519111918972,0.9788105051818894,0.69012032941775,0.0,0.9844523276985384
r1i1p1f1,18,factual,2011-01-16 12:00:00,31.99744,266.21213,0.9168060730382639,0.8977447479804633,0.7782295551927807,0.0,0.8879230353754892
r1i1p1f1,19,factual,2012-04-16 00:00:00,54.3322,26.077587,0.9943905154005316,0.9739521365832259,0.9033195430737944,0.8108199315072624,0.9877636471949954
