member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_25_gaussian,pn_dyn_adj_local_50_gaussian,pn_dyn_adj_dml_gaussian,pn_analogues_local_gaussian,pn_analogues_lasso_gaussian
r1i1p1f1,0,factual,2004-02-15 12:00:00,43.774647,50.75,0.8687487334780514,0.9286117520490639,0.4341671096573867,0.47830150174710695,0.7495621640026691,0.2533354455103236,0.0
r1i1p1f1,1,factual,2004-06-16 00:00:00,-72.35103,43.23077,0.7208763116210621,0.7616286811033783,0.8488018182649884,0.4888912651291618,0.5565312856284772,0.0,0.6860497437470816
r1i1p1f1,2,factual,2004-12-16 12:00:00,63.05801,151.65254,0.8884479509240867,0.9959773883506032,0.6390479244758327,0.5242507079277122,0.9504668891016724,0.9999895540386163,0.0
r1i1p1f1,3,factual,2005-05-16 12:00:00,-19.54471,21.744186,0.6424604113543284,0.9959620462289083,0.7356740332810057,0.45671763961222844,0.9560711192974424,0.9999999999926181,0.9999991798722004
r1i1p1f1,4,factual,2006-04-16 00:00:00,51.557922,75.0,0.9777538777249835,0.8721582942990905,0.7365278732702333,0.4906886230614247,0.6896257029093927,0.0,0.9393660498385337
r1i1p1f1,5,factual,2006-12-16 12:00:00,52.57959,289.45206,0.9524195300303854,0.9956115409421696,0.9998246068370505,0.9136957255731345,0.9542845901142945,0.9949295515700847,0.0
r1i1p1f1,6,factual,2008-01-16 12:00:00,64.198456,69.65909,0.9993347108365538,0.9497540111792311,0.9516195283949639,0.6925793936961989,0.8351971229234583,0.9960982509658405,0.0
r1i1p1f1,7,factual,2008-07-16 12:00:00,-83.123245,76.3125,0.9423587848987033,0.8174511446999224,0.6649462838984254,0.6082771467209227,0.8726099135541989,0.7194610781913424,0.0
r1i1p1f1,8,factual,2009-01-16 12:00:00,68.59156,310.1389,0.9938904703173123,0.9883128534961962,0.9037610330212729,0.7232952627051851,0.9311010142840352,0.0,0.0
r1i1p1f1,9,factual,2009-07-16 12:00:00,21.218615,81.25,0.9302403673897031,0.9978611251116141,0.911239947573239,0.7130554341940545,0.979857582481766,0.9996783632567108,0.0
r1i1p1f1,10,factual,2009-11-16 00:00:00,-14.2922535,312.8125,0.8839679523420675,0.999853063754956,0.9636647842830328,0.7370115429362045,0.9959373215858314,0.0,0.9999999995105292
r1i1p1f1,11,factual,2009-11-16 00:00:00,17.267609,8.222222,0.7587163592239398,0.9958365448414737,0.430357108736212,0.32813014204500135,0.978821352401093,0.8048908423627117,0.9959826933779496
r1i1p1f1,12,factual,2010-01-16 12:00:00,-0.15845072,21.328125,0.584256137471336,0.9999952437722838,0.6921463863696578,0.6724121539145862,0.9993585269721792,0.0,0.9999999999962643
r1i1p1f1,13,factual,2010-02-15 00:00:00,-24.671364,137.22223,0.6285062234128933,0.9816649867162,0.6932006321994739,0.3932996886563417,0.9146253537853611,0.0,0.9999949611533926
r1i1p1f1,14,factual,2010-06-16 00:00:00,-80.511604,340.34927,0.998102538017992,0.8276060802881613,0.9094403953597154,0.8678121246224156,0.9261772244189391,0.9780658217094692,0.9273045964264659
r1i1p1f1,15,factual,2010-06-16 00:00:00,-77.601234,11.666667,0.9990230065142224,0.8000685815268175,0.8391431060090527,0.788423006009729,0.8863645512449255,0.9719565845846722,0.9885020242938068
r1i1p1f1,16,factual,2010-09-16 00:00:00,-28.896233,124.84694,0.8661573115524459,0.9870024363174175,0.9472464691067546,0.7480197213059525,0.9376555263359102,0.0,0.9999994112265473
r1i1p1f1,17,factual,2010-12-16 12:00:00,68.38157,245.68182,0.9811519111918972,0.9788105051818894,0.8858400431560733,0.69012032941775,0.9130884209630583,0.6972616035187036,0.33269958360037666
