member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_analogue_sparse_sir_2_gaussian
r1i1p1f1,0,factual,2004-02-15 12:00:00,34.71524,39.81884,0.690196246431289,0.994681575221119,0.0,0.8767124965417656,0.992199800359518
r1i1p1f1,1,factual,2004-03-16 12:00:00,23.957745,46.833332,0.8224945516952165,0.9827614046100867,0.5564195734444164,0.863079511986962,0.8970529230216578
r1i1p1f1,2,factual,2004-03-16 12:00:00,31.021128,107.708336,0.8513126568832158,0.9107769077248467,0.7586538411631175,0.802062276228752,0.8748206613151394
r1i1p1f1,3,factual,2004-03-16 12:00:00,69.5849,282.89474,0.9511209524274559,0.9334603194247534,0.8967343029646816,0.5378806413545478,0.0
r1i1p1f1,4,factual,2004-03-16 12:00:00,79.33604,286.1508,0.974185603782692,0.9714030225382984,0.8714641503340865,0.8890365870528226,0.7177802898744639
r1i1p1f1,5,factual,2004-04-16 00:00:00,33.416706,39.051723,0.7959195538718956,0.9513245083950936,0.0,0.8660640059054565,0.940021992623294
r1i1p1f1,6,factual,2004-06-16 00:00:00,-77.4313,42.337135,0.8728817819346357,0.7588688356970158,0.2090529838264249,0.9393740909989202,0.5859119496273109
r1i1p1f1,7,factual,2004-06-16 00:00:00,-14.586391,26.514084,0.6789373197590002,0.9971645759596252,0.8308117750245776,0.9583093471333038,0.9999935649300182
r1i1p1f1,8,factual,2004-06-16 00:00:00,53.12759,11.764706,0.9828776512349453,0.8433544268491802,0.0,0.8966965089493679,0.9999997161974299
r1i1p1f1,9,factual,2004-07-16 12:00:00,-72.54161,114.03409,0.9877257261203211,0.5779172221583098,0.0,0.9522945094985246,0.996430782727138
r1i1p1f1,10,factual,2004-07-16 12:00:00,-20.189835,135.57971,0.8855371052180676,0.9787358511359084,0.9615911566128584,0.920714918001506,0.865512357778343
r1i1p1f1,11,factual,2004-07-16 12:00:00,25.352112,22.57353,0.7489085231196313,0.9371959075015339,0.003823742178930001,0.4157136447727826,0.958958304383705
r1i1p1f1,12,factual,2004-10-16 12:00:00,-21.512012,27.720589,0.8134175506078896,0.98536000397968,0.9948569559483463,0.9368459991880692,0.9895591002836907
r1i1p1f1,13,factual,2004-10-16 12:00:00,52.052746,263.03192,0.943537327590342,0.7856548919011515,0.852687278124078,0.9330932636021646,0.6993392165260438
r1i1p1f1,14,factual,2004-11-16 00:00:00,49.35484,245.48387,0.9432045475262099,0.8159409446666279,0.0,0.8958704171782793,0.9858772493975569
r1i1p1f1,15,factual,2004-11-16 00:00:00,67.53214,100.54348,0.9648422324540221,0.9213373039520725,0.0,0.9837057999502569,0.7805125252804915
r1i1p1f1,16,factual,2004-12-16 12:00:00,32.746475,261.18054,0.7395896128148707,0.8721787038686013,0.9734533396949484,0.8672747401769179,0.0
r1i1p1f1,17,factual,2004-12-16 12:00:00,47.676052,284.83334,0.38479332388435306,0.9822156084324529,0.9948025357219935,0.9119939984945445,0.6646245424983098
r1i1p1f1,18,factual,2004-12-16 12:00:00,64.26761,139.95,0.9917913239285219,0.9987435188107874,0.9999825713471026,0.9999804976346924,0.9999871905725248
r1i1p1f1,19,factual,2004-12-16 12:00:00,62.48069,63.75,0.9310040943599728,0.8725323656409963,0.9900968715337365,0.9129107550153003,0.0
r1i1p1f1,20,factual,2005-01-16 12:00:00,34.305412,271.71054,0.9471830236989831,0.9469239397431468,0.9610353129694327,0.9929759607306226,0.9984109507688401
r1i1p1f1,21,factual,2005-01-16 12:00:00,47.63839,114.941864,0.8432181234424293,0.9232909036807935,0.9950922465322549,0.9733052150166414,0.0
r1i1p1f1,22,factual,2005-02-15 00:00:00,-24.03813,132.5,0.8027790881504373,0.9754596067899726,0.0,0.7972163059267564,0.9988502844669287
r1i1p1f1,23,factual,2005-03-16 12:00:00,-81.468025,150.92949,0.9906736105418131,0.7706870548913394,0.0,0.9375012042738016,0.8112524898681353
r1i1p1f1,24,factual,2005-03-16 12:00:00,50.90704,11.55,0.5710026760658853,0.8633150480452396,0.0,0.8261899306194085,0.988917454214822
r1i1p1f1,25,factual,2005-04-16 00:00:00,23.432594,7.214286,0.7923057714003825,0.9915033513245674,0.0,0.7960790242020133,0.9999998181740616
r1i1p1f1,26,factual,2005-05-16 12:00:00,-81.44729,315.20114,0.9351776942562462,0.828766481583852,0.0,0.8582859344179448,0.9999564669554791
r1i1p1f1,27,factual,2005-05-16 12:00:00,-17.330395,24.75191,0.8555802582253557,0.999851444157179,0.9999999897945301,0.9955139193627609,0.9999999991411773
r1i1p1f1,28,factual,2005-06-16 00:00:00,-87.55323,189.2345,0.7502096563458847,0.8692764615761441,0.0,0.9893806801777089,0.9934988150095364
r1i1p1f1,29,factual,2005-06-16 00:00:00,-79.22535,62.265625,0.9445196613080828,0.7255142952257705,0.0,0.835813150496312,0.999990389659155
r1i1p1f1,30,factual,2005-06-16 00:00:00,-70.2945,123.97727,0.9946303669111346,0.5968944469936788,0.0,0.9085578524041569,0.9987488436252919
r1i1p1f1,31,factual,2005-06-16 00:00:00,-11.628904,28.56884,0.6871866133184017,0.9998357918993241,0.9995634269941716,0.9932263054860683,0.9999999861040997
r1i1p1f1,32,factual,2005-08-16 12:00:00,-81.16664,236.01399,0.886300697945114,0.8537229574385715,0.0,0.9943444717126951,0.6904441952924689
r1i1p1f1,33,factual,2005-08-16 12:00:00,-28.345812,137.39362,0.8336294437369911,0.9669243807465843,0.0,0.8731496903479732,0.9912619942802494
r1i1p1f1,34,factual,2005-09-16 00:00:00,-8.348713,290.38794,0.668947774718869,0.9999999434647066,0.9999999999999999,0.9958198708987241,0.9999920521207177
r1i1p1f1,35,factual,2005-10-16 12:00:00,-12.94946,19.215687,0.7354554184763997,0.9999187112798309,0.6641250562801774,0.9997749060659971,0.9999998948569255
r1i1p1f1,36,factual,2005-10-16 12:00:00,0.066716105,294.07895,0.6022853994180244,0.9999761408351341,0.0,0.9091548660527103,0.9999999981247021
r1i1p1f1,37,factual,2005-10-16 12:00:00,40.20731,254.41011,0.7371455260209507,0.9255559657553276,0.9668460227751938,0.8869321869609148,0.9373728945182218
r1i1p1f1,38,factual,2005-11-16 00:00:00,-1.9806337,308.125,0.4904524540658285,0.9999873535003267,0.9999931818384695,0.9994689859951482,0.9997890125094947
r1i1p1f1,39,factual,2005-12-16 12:00:00,-2.350833,310.5,0.7847884787694501,0.9999954516206468,0.9999999531586541,0.9999956220582499,0.9999999813844175
r1i1p1f1,40,factual,2005-12-16 12:00:00,18.35452,15.833333,0.7685152073400624,0.9948839074763092,0.9197590943767641,0.9071483409750615,0.9867392076885477
r1i1p1f1,41,factual,2006-01-16 12:00:00,15.882353,48.67647,0.8499439483660702,0.9967930684169416,0.9820455617483731,0.9563781895156896,0.9097012446489812
r1i1p1f1,42,factual,2006-01-16 12:00:00,18.936476,101.938774,0.6260067623123338,0.9692135730972348,0.9987913408124265,0.948160737384008,0.9999926466890959
