member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_25_gaussian,pn_dyn_adj_local_50_pca_gaussian
r6i1p1f1,31,counterfactual,2014-03-16 12:00:00,24.000002,356.33334,0.9825769469499211,0.4738794305009755,0.7733294976033935,0.9958771047364853
r6i1p1f1,32,counterfactual,2014-03-16 12:00:00,34.542255,47.125,0.8561630884424303,0.48223743826887766,0.1504075593446781,0.9905805711691844
r6i1p1f1,33,counterfactual,2014-09-16 00:00:00,-13.873239,318.47223,0.9673074325322966,0.27735793171645584,0.7745332904100275,0.9993364043986804
r7i1p1f1,0,factual,2010-10-16 12:00:00,52.54801,117.045456,0.9321994455582729,0.9489479792238094,0.9932725362023582,0.999898058557005
r7i1p1f1,1,factual,2011-02-15 00:00:00,44.97815,90.86207,0.9742364394827432,0.9062765511221387,0.6019658818862961,0.91628059629144
r7i1p1f1,2,factual,2011-10-16 12:00:00,-24.891163,27.5,0.7464708195808611,0.966151901916253,0.9872883295841471,0.9999998707442956
r7i1p1f1,3,factual,2011-10-16 12:00:00,-12.018779,20.277779,0.7656179430178569,0.9998225311181815,0.7933077665336032,0.9999999999988086
r7i1p1f1,4,factual,2011-10-16 12:00:00,80.73673,292.1154,0.9993560705112463,0.9919082759676134,0.8308854023398113,0.9999999999999998
r7i1p1f1,5,factual,2011-12-16 12:00:00,-17.384306,16.964285,0.9347585333436985,0.9988871468924758,0.9921570582528075,0.999999999998451
r7i1p1f1,6,factual,2011-12-16 12:00:00,56.209793,81.45522,0.9960997507159903,0.9320233938474453,0.9877638958283255,0.9951361901705716
r7i1p1f1,7,factual,2012-01-16 12:00:00,11.577466,8.333333,0.8221085608025986,0.932208204562543,0.4449873130631843,0.947667722824692
r7i1p1f1,8,factual,2012-01-16 12:00:00,21.779768,100.90909,0.942368174483942,0.8828016225543917,0.6012054801130555,0.9999268137852089
r7i1p1f1,9,factual,2012-01-16 12:00:00,70.866325,100.37736,0.9999992928441651,0.9931972235140115,0.9003472296970253,0.9999999999991477
r7i1p1f1,10,factual,2012-02-15 12:00:00,14.689312,354.70587,0.8545700936539125,0.9819047789733316,0.9543959718102684,0.9990831547826278
r7i1p1f1,11,factual,2012-02-15 12:00:00,19.234535,4.4565215,0.8698653565129306,0.9701932412901835,0.2491083854216425,0.9695240369872501
r7i1p1f1,12,factual,2012-07-16 12:00:00,-83.60739,177.34506,0.997630088005516,0.9645792640070491,0.9824387130331514,0.9999935383961138
r7i1p1f1,13,factual,2012-07-16 12:00:00,-70.901405,28.833334,0.9767342438887013,0.8344792528879836,0.9795452697050263,0.9987222916730512
r7i1p1f1,14,factual,2012-08-16 12:00:00,-73.30987,352.29166,0.9059369564019046,0.8320417120617003,0.9595533310338994,0.9947918943239308
r7i1p1f1,15,factual,2012-08-16 12:00:00,-72.40266,7.352941,0.9885149045205296,0.7519081523928549,0.882767872018439,0.9137364057385098
r7i1p1f1,16,factual,2012-12-16 12:00:00,33.031235,269.74637,0.9862309988254573,0.9755857143266656,0.8678062285251009,0.9999936975751967
r7i1p1f1,17,factual,2013-01-16 12:00:00,65.75193,152.8629,0.9995031876021013,0.96234837012195,0.989996511034693,0.9999999751669634
