member,event_id,scenario,time,lat,lon,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_analogue_sparse_adjusted_gaussian
r1i1p1f1,0,factual,2004-02-15 12:00:00,43.774647,50.75,0.9286117520490639,0.2533354455103236,0.7854857339773937,0.9821424408723474,0.799551914947807
r1i1p1f1,1,factual,2004-03-16 12:00:00,79.93372,288.38235,0.9823319247504176,0.0,0.9673020465165513,0.999296025082678,0.823972799320957
r1i1p1f1,2,factual,2004-06-16 00:00:00,-72.35103,43.23077,0.7616286811033783,0.0,0.8766260292216679,0.9959130783558887,0.9999364220952563
r1i1p1f1,3,factual,2004-07-16 12:00:00,-20.281693,131.44737,0.9701473878189865,0.950180405135553,0.8745621808228581,0.9998875396202371,0.9622734074616238
r1i1p1f1,4,factual,2004-12-16 12:00:00,63.05801,151.65254,0.9959773883506032,0.9999895540386163,0.9692016553133412,0.9999999998655877,0.9999983220456214
r1i1p1f1,5,factual,2005-02-15 00:00:00,-25.56338,126.875,0.9275127519515505,0.8341220994963976,0.7145157392889641,0.9940033624883744,0.9995032868337045
r1i1p1f1,6,factual,2005-03-16 12:00:00,-79.66414,150.0,0.7883903413608967,0.0,0.9288172604160141,0.9941975486950959,0.9986476426043118
r1i1p1f1,7,factual,2005-05-16 12:00:00,-19.54471,21.744186,0.9959620462289083,0.9999999999926181,0.9871450156372207,0.9999786548687478,0.9999999989390218
r1i1p1f1,8,factual,2005-08-16 12:00:00,-81.61971,235.0,0.625358914463684,0.0,0.6535920872473961,0.7563605472512726,0.998523398882457
r1i1p1f1,9,factual,2005-08-16 12:00:00,-80.70422,271.80554,0.9383490131947599,0.6952777483810645,0.9704180897531518,0.9996768522172761,0.30901495277464175
r1i1p1f1,10,factual,2005-08-16 12:00:00,-76.71771,225.65218,0.5933444178819778,0.0,0.6844060716707907,0.7872392118724889,0.0
r1i1p1f1,11,factual,2005-10-16 12:00:00,43.22535,252.0,0.8938281548816315,0.989364977968299,0.9590660185213895,0.9989469236350358,0.29211060821907453
r1i1p1f1,12,factual,2005-12-16 12:00:00,-6.443661,321.04166,0.9999980895903312,0.0,0.9999999996836678,0.9999999999999997,0.9999999766867432
r1i1p1f1,13,factual,2005-12-16 12:00:00,-0.19501622,306.53845,0.9998714439977903,0.9983178647888428,0.9720073495025787,0.9997914167055244,0.9999999602691235
r1i1p1f1,14,factual,2006-02-15 00:00:00,51.126755,101.5,0.9070783811592016,0.9747255833792545,0.9467474348837471,0.9705471543985414,0.0
r1i1p1f1,15,factual,2006-04-16 00:00:00,51.557922,75.0,0.8721582942990905,0.0,0.3951080257013494,0.8815521373167805,0.9963342925764752
r1i1p1f1,16,factual,2006-12-16 12:00:00,52.57959,289.45206,0.9956115409421696,0.9949295515700847,0.9925443078635774,1.0,0.9999999907546099
r1i1p1f1,17,factual,2006-12-16 12:00:00,65.91549,179.79167,0.996341389525973,0.9991974747520124,0.9743171379424573,0.9999999994180377,0.7747894447541883
r1i1p1f1,18,factual,2007-02-15 00:00:00,51.100353,12.8125,0.8666439403007595,0.0,0.9818133532692359,0.9999940208300374,0.9061899089249493
r1i1p1f1,19,factual,2007-02-15 00:00:00,70.684105,115.95238,0.9633134506951408,0.9673490821877909,0.9767702744882475,0.9999999782194406,0.9999941203990247
r1i1p1f1,20,factual,2007-03-16 12:00:00,13.56338,44.75,0.9900232079709756,0.0,0.9957453960918006,0.9995303732390295,0.994740368518067
r1i1p1f1,21,factual,2007-07-16 12:00:00,-19.160347,136.0577,0.966236636282291,0.864073039217623,0.943205097362953,0.99877247936938,0.9983714611973886
r1i1p1f1,22,factual,2008-01-16 12:00:00,64.198456,69.65909,0.9497539717378539,0.9960982626297248,0.983057119133875,0.9997234288272142,0.9976253597415745
r1i1p1f1,23,factual,2008-02-15 12:00:00,30.211267,262.70834,0.8625801725158978,0.9966903294120946,0.9322092742036635,0.9975466655578147,0.7768172972245796
r1i1p1f1,24,factual,2008-07-16 12:00:00,-83.123245,76.3125,0.8174511446999224,0.7194610781913424,0.8735334497738599,0.9475020429436775,0.9979735643302247
r1i1p1f1,25,factual,2008-07-16 12:00:00,-73.29065,66.36364,0.7612384404466268,0.0,0.860733410135536,0.9933247457970443,0.9999995860107321
r1i1p1f1,26,factual,2008-07-16 12:00:00,-67.69014,57.0,0.7751050044164788,0.0,0.9722018418820952,0.9953356891432688,0.9999996183782952
r1i1p1f1,27,factual,2008-11-16 00:00:00,70.05633,149.83333,0.9861248732686576,0.9996958184557557,0.9993249412455513,0.9999999999998944,0.9998599907491631
r1i1p1f1,28,factual,2009-01-16 12:00:00,68.59156,310.1389,0.9883128534961962,0.0,0.9833431147775338,0.9996009641325391,0.999999990597118
