member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_analogue_sparse_sir_2_gaussian,pn_analogue_sparse_sir_3_gaussian,pn_analogue_sparse_sir_10_gaussian
r1i1p1f1,0,factual,2004-02-15 12:00:00,43.774647,50.75,0.8687487334780514,0.9286117520490639,0.29997757451982476,0.7854857339773937,0.9962670552451693,0.8584483322968678,0.9223760488438251
r1i1p1f1,1,factual,2004-06-16 00:00:00,-72.35103,43.23077,0.7208763116210621,0.7616286811033783,0.511570862976511,0.8766260292216679,0.99974658493653,0.9961413259054113,0.9996821775603312
r1i1p1f1,2,factual,2004-12-16 12:00:00,63.05801,151.65254,0.8884479509240867,0.9959773883506032,0.9999992529528267,0.9692016553133412,0.9646301035534534,0.9975302620646217,0.9995806125192744
r1i1p1f1,3,factual,2005-05-16 12:00:00,-19.54471,21.744186,0.6424604113543284,0.9959620462289083,0.999999999662007,0.9871450156372207,0.9999987872953244,0.9999996417463812,0.9999999878558428
r1i1p1f1,4,factual,2006-04-16 00:00:00,51.557922,75.0,0.9777538777249835,0.8721582942990905,0.0,0.3951080257013494,0.9999990906141496,0.9999674098357006,0.9995474052255681
r1i1p1f1,5,factual,2006-12-16 12:00:00,52.57959,289.45206,0.9524195300303854,0.9956115409421696,0.9974336939817804,0.9925443078635774,0.9999999982479044,0.9989579248225866,0.9999899338733313
r1i1p1f1,6,factual,2008-01-16 12:00:00,64.198456,69.65909,0.9993347108365538,0.9497540111792311,0.9979517890438244,0.9830571512667359,0.0,0.8956155104053266,0.967348022399283
r1i1p1f1,7,factual,2008-07-16 12:00:00,-83.123245,76.3125,0.9423587848987033,0.8174511446999224,0.11174605924394221,0.8735334497738599,0.9999969595358038,0.0,0.0
r1i1p1f1,8,factual,2009-01-16 12:00:00,68.59156,310.1389,0.9938904703173123,0.9883128534961962,0.0,0.9833431147775338,0.9999999888545346,0.9950124726552888,0.9567291387502558
r1i1p1f1,9,factual,2009-07-16 12:00:00,21.218615,81.25,0.9302403673897031,0.9978611251116141,0.999997905771564,0.9631049834984138,0.9998811173459943,0.9908412394031801,0.9977663140594407
r1i1p1f1,10,factual,2009-11-16 00:00:00,-14.2922535,312.8125,0.8839679523420675,0.999853063754956,0.0,0.9999808539212077,0.9999999929395538,0.9999999898578903,0.999999999054764
r1i1p1f1,11,factual,2009-11-16 00:00:00,17.267609,8.222222,0.7587163592239398,0.9958365448414737,0.5791034513366823,0.9471737984732634,0.9781495241238761,0.996647218758233,0.9990418075732397
r1i1p1f1,12,factual,2010-01-16 12:00:00,-0.15845072,21.328125,0.584256137471336,0.9999952437722838,0.9999999591898369,0.9999997413557907,0.9999999982023046,0.9999999989366412,0.9999999999421638
r1i1p1f1,13,factual,2010-02-15 00:00:00,-24.671364,137.22223,0.6285062234128933,0.9816649867162,0.0,0.9183104124162396,0.9999992789021519,0.9999999972475186,0.9999999678414548
r1i1p1f1,14,factual,2010-06-16 00:00:00,-80.511604,340.34927,0.998102538017992,0.8276060802881613,0.8213386280978744,0.9825705687079297,0.9794545785986968,0.0,0.9791713052335203
r1i1p1f1,15,factual,2010-06-16 00:00:00,-77.601234,11.666667,0.9990230065142224,0.8000685815268175,0.0,0.7320916527342902,0.9584687681591744,0.8277145266569677,0.9991482375069235
r1i1p1f1,16,factual,2010-09-16 00:00:00,-28.896233,124.84694,0.8661573115524459,0.9870024363174175,0.0,0.9582859613111886,0.9999681941788193,0.999999988744086,0.999951450225422
r1i1p1f1,17,factual,2010-12-16 12:00:00,68.38157,245.68182,0.9811519111918972,0.9788105051818894,0.9613371715367076,0.9855039935798879,0.90855170025609,0.9470281894171045,0.9944349006452318
r1i1p1f1,18,factual,2011-01-16 12:00:00,31.99744,266.21213,0.9168060730382639,0.8977447479804633,0.6238936977439599,0.9935900711138279,0.8387259623269963,0.4606846815158603,0.6640461120529355
r1i1p1f1,19,factual,2012-04-16 00:00:00,54.3322,26.077587,0.9943905154005316,0.9739521365832259,0.0,0.9994723129072327,0.5750547005163215,0.7724140017285102,0.999949175375227
r1i1p1f1,20,factual,2012-07-16 12:00:00,-75.44517,96.875,0.9952315416077626,0.6143667083749145,0.0,0.7744588339840135,0.9999998226585326,0.999996306735926,0.9999267126868621
r1i1p1f1,21,factual,2012-11-16 00:00:00,70.22536,145.1875,0.9923428485622672,0.9971229981339607,0.0,0.9999824523585953,0.9999911254318252,0.9999996511815592,0.999999192504491
r1i1p1f1,22,factual,2013-02-15 00:00:00,29.915493,66.14286,0.915089303662294,0.986191818318704,0.0,0.8481705491887783,0.9793166084369059,0.9939787822745465,0.9931338929659769
