member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_50_gaussian,pn_dyn_adj_local_50_pca_gaussian
r1i1p1f1,0,factual,2010-01-16 12:00:00,-29.281689,22.75,0.8665775749456113,0.9778888541020906,0.7075706427441143,0.9999576984506553
r1i1p1f1,1,factual,2010-01-16 12:00:00,-25.296999,147.06522,0.932410000368897,0.9741598391557591,0.5900142193204023,0.99790144995602
r1i1p1f1,2,factual,2010-01-16 12:00:00,-0.15845072,21.328125,0.5745049089352341,0.9999952437722838,0.7497938024381239,1.0
r1i1p1f1,3,factual,2010-01-16 12:00:00,11.27732,7.586207,0.7915599008375254,0.998785756815859,0.667102678080525,0.9994775338383214
r1i1p1f1,4,factual,2010-02-15 00:00:00,-24.671364,137.22223,0.9876664627011144,0.9816649867162,0.3185017996928847,0.9836183653478752
r1i1p1f1,5,factual,2010-02-15 00:00:00,1.9014086,13.541667,0.6536665075101046,0.9999992183941943,0.8502932653545207,1.0
r1i1p1f1,6,factual,2010-03-16 12:00:00,0.9507043,114.166664,0.6584030836058454,0.9999999991465928,0.7906810216637383,1.0
r1i1p1f1,7,factual,2010-03-16 12:00:00,4.2061462,31.136364,0.8256405311737834,0.9985274543399474,0.70701754727392,0.9999999994585097
r1i1p1f1,8,factual,2010-03-16 12:00:00,30.489252,54.210526,0.943478706450094,0.9896927284843905,0.5389736390158305,0.9992913181016968
r1i1p1f1,9,factual,2010-04-16 00:00:00,18.887325,348.75,0.8788062126688128,0.9944886437860975,0.8722135156477694,0.9968382098849589
r1i1p1f1,10,factual,2010-04-16 00:00:00,22.586428,35.454544,0.8611912920251202,0.9974456626946431,0.37157566004637155,0.9972629306361966
r1i1p1f1,11,factual,2010-06-16 00:00:00,-80.511604,340.34927,0.9886466230946312,0.8276060802881613,0.8964403844863011,0.9950215559304317
r1i1p1f1,12,factual,2010-06-16 00:00:00,-77.601234,11.666667,0.9644130132672971,0.8000685815268175,0.7928800271431138,0.972481531422928
r1i1p1f1,13,factual,2010-08-16 12:00:00,-26.396023,26.17647,0.8095293416804585,0.9737009567897219,0.7257104333566768,0.9999906858264175
r1i1p1f1,14,factual,2010-09-16 00:00:00,-81.919014,217.8125,0.8514997300050544,0.5582061888882752,0.3344191135304525,0.8821713076048139
r1i1p1f1,15,factual,2010-09-16 00:00:00,-28.896233,124.84694,0.9287965834759362,0.9870024363174175,0.6835634885949313,0.9999834544225022
r1i1p1f1,16,factual,2010-12-16 12:00:00,68.38157,245.68182,0.9702373711167595,0.9788105051818894,0.6956444401320963,0.9999994451257561
r1i1p1f1,17,factual,2011-01-16 12:00:00,31.99744,266.21213,0.9934499215261248,0.8977447479804633,0.7918906864924308,0.9999997814935973
r1i1p1f1,18,factual,2011-03-16 12:00:00,25.885841,255.78947,0.8898424367818395,0.9726029013869872,0.7503790089270757,0.9999936393875521
r1i1p1f1,19,factual,2011-03-16 12:00:00,43.298737,272.89474,0.9657481051621111,0.9490164418824417,0.8742079779305026,0.9999993883797387
r1i1p1f1,20,factual,2011-05-16 12:00:00,-72.69718,85.125,0.9943967427733944,0.5232626034291997,0.2925899742133,0.945761993805029
r1i1p1f1,21,factual,2011-05-16 12:00:00,-75.06036,128.39285,0.9963562228210627,0.65552860764753,0.5640470326807889,0.997592340343078
r1i1p1f1,22,factual,2011-12-16 12:00:00,66.50054,271.53845,0.9919707056264528,0.965977769386464,0.6716748621283688,0.9999999999999779
r1i1p1f1,23,factual,2011-12-16 12:00:00,71.10115,252.5,0.9842992107438994,0.977374893802723,0.45344318260796357,0.9999999996049733
r1i1p1f1,24,factual,2012-03-16 12:00:00,-31.436625,120.833336,0.7306076546233866,0.9398406494967716,0.9021010240972801,0.9999990924490015
r1i1p1f1,25,factual,2012-03-16 12:00:00,32.233402,115.2381,0.9915575896184042,0.9716186345888825,0.7552550805692111,0.9834807424635701
r1i1p1f1,26,factual,2012-04-16 00:00:00,54.3322,26.077587,0.982682885968246,0.9739521365832259,0.9467394970270305,0.9999999733142791
r1i1p1f1,27,factual,2012-07-16 12:00:00,-75.44517,96.875,0.9462963913971066,0.6143667083749145,0.4278931653765362,0.989687863566994
r1i1p1f1,28,factual,2012-11-16 00:00:00,70.22536,145.1875,0.9989565739712387,0.9971229981339607,0.784645515707599,1.0
r1i1p1f1,29,factual,2013-01-16 12:00:00,36.488934,60.714287,0.9729776378643787,0.9736988676908606,0.37997441377930674,0.9796440261579229
r1i1p1f1,30,factual,2013-02-15 00:00:00,29.915493,66.14286,0.9729430316512095,0.986191818318704,0.29783031723741804,0.9448154472273889
r1i1p1f1,31,factual,2013-10-16 12:00:00,-14.66197,310.25,0.9757092182069771,0.9996382835479752,0.5913637963836296,0.9994672935095572
r1i1p1f1,32,factual,2013-11-16 00:00:00,40.183098,243.3125,0.9879165117284097,0.9776797909766521,0.28210778666449854,0.9999882853831633
r1i1p1f1,33,factual,2014-02-15 00:00:00,24.71831,106.666664,0.9999991840275284,0.9756130252520838,0.15138047609427974,0.9996718159893789
r1i1p1f1,34,factual,2014-02-15 00:00:00,37.014076,272.77274,0.9956082823092475,0.9119743181712172,0.7169621264727625,0.9999997642469253
r1i1p1f1,35,factual,2014-02-15 00:00:00,67.11267,170.20833,0.9999973868240623,0.9930399572383309,0.9427589824573127,0.9999999530922227
r1i1p1f1,36,factual,2014-04-16 00:00:00,52.10002,49.7191,0.992573103224509,0.9650681620228321,0.9671055289172655,0.9999999823898539
r1i1p1f1,37,factual,2014-06-16 00:00:00,-17.990248,25.576923,0.9964461801553848,0.997961812630706,0.8875451361880556,0.9999999543622056
r1i1p1f1,38,factual,2014-08-16 12:00:00,-18.169012,144.0,0.9974497654823872,0.9971263871510885,0.8438673837035595,0.9999916884287153
