member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_analogue_sparse_gaussian
r9i1p1f1,115,counterfactual,2010-12-16 12:00:00,76.490616,310.82175,0.6296289818110805,0.24466327743257854,0.6872849620506871,0.21251291851089937,0.5384473766514954,0.0
r9i1p1f1,116,counterfactual,2010-12-16 12:00:00,69.60809,281.73914,0.9684965562842209,0.2712583646099497,0.8506828284323974,0.340962410835825,0.8197965045088793,0.0
r9i1p1f1,117,counterfactual,2011-01-16 12:00:00,20.070421,12.670455,0.3523495605719015,0.15843788394061464,0.21935060346621305,0.0,0.017476132108933617,0.0
r9i1p1f1,118,counterfactual,2011-01-16 12:00:00,15.290493,354.29688,0.37400118856337883,0.135030795314238,0.022069071507332172,0.0,0.062163282066525105,0.0
r9i1p1f1,119,counterfactual,2011-01-16 12:00:00,39.940197,55.71229,0.3297332677314295,0.11447739839440318,0.0,0.009536886123292065,0.07457421455417679,0.0
r9i1p1f1,120,counterfactual,2011-01-16 12:00:00,28.270554,254.88373,0.16291474483888557,0.03094975784820475,0.0,0.0,0.0,0.0
r9i1p1f1,121,counterfactual,2011-01-16 12:00:00,60.559082,134.71037,0.16476708501283177,0.1389927708032005,0.1341179944301728,0.0,0.0,0.0
r9i1p1f1,122,counterfactual,2011-02-15 00:00:00,19.436619,351.3889,0.3062626151090263,0.10076921076093293,0.11037128065078661,0.0,0.02902875485688383,0.0
r9i1p1f1,123,counterfactual,2011-02-15 00:00:00,26.507872,8.051471,0.34795531910136,0.14970466648049263,0.295778958655895,0.0,0.0,0.0
r9i1p1f1,124,counterfactual,2011-02-15 00:00:00,63.55854,207.03125,0.0006929112193887477,0.013724600368604123,0.03223101235022208,0.0,0.0,0.0
r9i1p1f1,125,counterfactual,2011-03-16 12:00:00,-30.856646,135.0685,0.8180202161254005,0.1739536347417402,0.0,0.6762477375136748,0.8296555846594506,0.9897045298641293
r9i1p1f1,126,counterfactual,2011-03-16 12:00:00,29.971348,59.618645,0.4346787429690364,0.12172880083856297,0.0,0.05196902499873557,0.24259209347370214,0.5725855065533925
r9i1p1f1,127,counterfactual,2011-03-16 12:00:00,30.082445,110.48781,0.39734112340560823,0.029057055262209697,0.0,0.0,0.022588831039965895,0.0
r9i1p1f1,128,counterfactual,2011-03-16 12:00:00,30.845072,30.833334,0.4023015607235949,0.1373980070472165,0.3836008183805434,0.026441747214657085,0.16949867166406185,0.0
r9i1p1f1,129,counterfactual,2011-04-16 00:00:00,-37.839382,294.2553,0.3272692046486716,0.041766476160600474,0.0,0.016305688250669692,0.033629077214684555,0.0
