member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_analogue_sparse_gaussian
r1i1p1f1,0,factual,2004-02-15 12:00:00,43.774647,50.75,0.8687487334780514,0.9286117520490639,0.29997757451982476,0.7854857339773937,0.799551914947807
r1i1p1f1,1,factual,2004-06-16 00:00:00,-72.35103,43.23077,0.7208763116210621,0.7616286811033783,0.511570862976511,0.8766260292216679,0.9999364220952563
r1i1p1f1,2,factual,2004-12-16 12:00:00,63.05801,151.65254,0.8884479509240867,0.9959773883506032,0.9999992529528267,0.9692016553133412,0.9999983220456214
r1i1p1f1,3,factual,2005-05-16 12:00:00,-19.54471,21.744186,0.6424604113543284,0.9959620462289083,0.999999999662007,0.9871450156372207,0.9999999989390218
r1i1p1f1,4,factual,2006-04-16 00:00:00,51.557922,75.0,0.9777538777249835,0.8721582942990905,0.0,0.3951080257013494,0.9963342925764752
r1i1p1f1,5,factual,2006-12-16 12:00:00,52.57959,289.45206,0.9524195300303854,0.9956115409421696,0.9974336939817804,0.9925443078635774,0.9999999907546099
r1i1p1f1,6,factual,2008-01-16 12:00:00,64.198456,69.65909,0.9993347108365538,0.9497540111792311,0.9979517890438244,0.9830571512667359,0.9976253730958473
r1i1p1f1,7,factual,2008-07-16 12:00:00,-83.123245,76.3125,0.9423587848987033,0.8174511446999224,0.11174605924394221,0.8735334497738599,0.9979735643302247
r1i1p1f1,8,factual,2009-01-16 12:00:00,68.59156,310.1389,0.9938904703173123,0.9883128534961962,0.0,0.9833431147775338,0.999999990597118
r1i1p1f1,9,factual,2009-07-16 12:00:00,21.218615,81.25,0.9302403673897031,0.9978611251116141,0.999997905771564,0.9631049834984138,0.9103491190356747
r1i1p1f1,10,factual,2009-11-16 00:00:00,-14.2922535,312.8125,0.8839679523420675,0.999853063754956,0.0,0.9999808539212077,0.9999999924386659
r1i1p1f1,11,factual,2009-11-16 00:00:00,17.267609,8.222222,0.7587163592239398,0.9958365448414737,0.5791034513366823,0.9471737984732634,0.9625972612309864
r1i1p1f1,12,factual,2010-01-16 12:00:00,-0.15845072,21.328125,0.584256137471336,0.9999952437722838,0.9999999591898369,0.9999997413557907,0.9999999984791442
r1i1p1f1,13,factual,2010-02-15 00:00:00,-24.671364,137.22223,0.6285062234128933,0.9816649867162,0.0,0.9183104124162396,0.9999774599943838
r1i1p1f1,14,factual,2010-06-16 00:00:00,-80.511604,340.34927,0.998102538017992,0.8276060802881613,0.8213386280978744,0.9825705687079297,0.9997339722428171
r1i1p1f1,15,factual,2010-06-16 00:00:00,-77.601234,11.666667,0.9990230065142224,0.8000685815268175,0.0,0.7320916527342902,0.9742323503993711
r1i1p1f1,16,factual,2010-09-16 00:00:00,-28.896233,124.84694,0.8661573115524459,0.9870024363174175,0.0,0.9582859613111886,0.9999631626946032
r1i1p1f1,17,factual,2010-12-16 12:00:00,68.38157,245.68182,0.9811519111918972,0.9788105051818894,0.9613371715367076,0.9855039935798879,0.9418654029922156
r1i1p1f1,18,factual,2011-01-16 12:00:00,31.99744,266.21213,0.9168060730382639,0.8977447479804633,0.6238936977439599,0.9935900711138279,0.7589695426922968
r1i1p1f1,19,factual,2012-04-16 00:00:00,54.3322,26.077587,0.9943905154005316,0.9739521365832259,0.0,0.9994723129072327,0.7905897333882134
r1i1p1f1,20,factual,2012-07-16 12:00:00,-75.44517,96.875,0.9952315416077626,0.6143667083749145,0.0,0.7744588339840135,0.9999088735464395
r1i1p1f1,21,factual,2012-11-16 00:00:00,70.22536,145.1875,0.9923428485622672,0.9971229981339607,0.0,0.9999824523585953,0.9999999677996402
r1i1p1f1,22,factual,2013-02-15 00:00:00,29.915493,66.14286,0.915089303662294,0.986191818318704,0.0,0.8481705491887783,0.9548575155314936
r1i1p1f1,23,factual,2013-10-16 12:00:00,-14.66197,310.25,0.8758987997720974,0.9996382835479752,0.9999997946313386,0.9997035614825587,0.9999999974148249
r1i1p1f1,24,factual,2013-11-16 00:00:00,40.183098,243.3125,0.8922534723124511,0.9776797909766521,0.0,0.9963429498500311,0.9998067279654009
r1i1p1f1,25,factual,2014-02-15 00:00:00,37.014076,272.77274,0.999999943284619,0.9119743181712172,0.9999239247502706,0.9945091761306053,0.9286650513251715
r1i1p1f1,26,factual,2014-02-15 00:00:00,67.11267,170.20833,0.982689510296807,0.9930399572290358,0.9997698562146505,0.9821853715000923,0.0
r1i1p1f1,27,factual,2014-04-16 00:00:00,52.10002,49.7191,0.9618945830104175,0.965068162068647,0.544905139633843,0.992903464797886,0.9994688762035887
r1i1p1f1,28,factual,2014-10-16 12:00:00,-16.608887,306.98718,0.999904395425778,0.9982137294628093,0.9999033056216019,0.9903032347710565,0.9999999272028371
r1i1p1f1,0,counterfactual,2004-02-15 12:00:00,43.774647,50.75,0.6761251002128383,0.0,0.7009414058707755,0.8271254041617011,0.8513070253414541
r1i1p1f1,1,counterfactual,2004-06-16 00:00:00,-72.35103,43.23077,0.3052619108474032,0.01837193851360852,0.0,0.0,0.0
r1i1p1f1,2,counterfactual,2004-12-16 12:00:00,63.05801,151.65254,0.45329366223121437,0.0013758650111910242,0.30348952517937966,0.2712701450071787,0.0
r1i1p1f1,3,counterfactual,2005-05-16 12:00:00,-19.54471,21.744186,0.33046276375359407,0.0,0.4443860612936016,0.2923620909299337,0.0
r1i1p1f1,4,counterfactual,2006-04-16 00:00:00,51.557922,75.0,0.010594757855898362,0.0003811466391153706,0.0,0.0039020519482818594,0.0
r1i1p1f1,5,counterfactual,2006-12-16 12:00:00,52.57959,289.45206,0.33295609985808616,0.0,0.15231876939745692,0.20380557029028157,0.0
r1i1p1f1,6,counterfactual,2008-01-16 12:00:00,64.198456,69.65909,0.0007544043789441401,0.0,0.0,0.0,0.0
r1i1p1f1,7,counterfactual,2008-07-16 12:00:00,-83.123245,76.3125,0.5157983962306558,0.0,0.0,0.18421728966989015,0.2292327314214756
r1i1p1f1,8,counterfactual,2009-01-16 12:00:00,68.59156,310.1389,5.8308111959282094e-05,0.0,0.0,0.0,0.2899540347315718
r1i1p1f1,9,counterfactual,2009-07-16 12:00:00,21.218615,81.25,0.14632331576851776,0.0,0.0,0.0,0.0
r1i1p1f1,10,counterfactual,2009-11-16 00:00:00,-14.2922535,312.8125,0.3882269653036432,0.0,0.0,0.008474265086236055,0.5416634499577779
r1i1p1f1,11,counterfactual,2009-11-16 00:00:00,17.267609,8.222222,0.11468878135286431,0.0,0.006657310379740156,0.0,0.0
r1i1p1f1,12,counterfactual,2010-01-16 12:00:00,-0.15845072,21.328125,0.22696269873067154,0.0,0.0,0.0,0.11786767680364652
r1i1p1f1,13,counterfactual,2010-02-15 00:00:00,-24.671364,137.22223,0.22224498558842565,0.0,0.0,0.011474367331277602,0.0
r1i1p1f1,14,counterfactual,2010-06-16 00:00:00,-80.511604,340.34927,0.4433739996570434,0.0,0.0,0.036690104901890286,0.0
r1i1p1f1,15,counterfactual,2010-06-16 00:00:00,-77.601234,11.666667,0.033943476843637965,0.0,0.0,0.0,0.0
r1i1p1f1,16,counterfactual,2010-09-16 00:00:00,-28.896233,124.84694,0.3133795986218155,0.0,0.0,0.011741088953686418,0.0
r1i1p1f1,17,counterfactual,2010-12-16 12:00:00,68.38157,245.68182,0.006028549391455251,0.0,0.025821424792624392,0.0,0.0
r1i1p1f1,18,counterfactual,2011-01-16 12:00:00,31.99744,266.21213,0.0062126737655368025,0.0,0.0,0.0,0.0
r1i1p1f1,19,counterfactual,2012-04-16 00:00:00,54.3322,26.077587,0.06402342850894804,0.0,0.009265742642533104,0.0,0.0
r1i1p1f1,20,counterfactual,2012-07-16 12:00:00,-75.44517,96.875,0.6068968076626275,0.0,0.6856165109862558,0.030479562929569992,0.0
r1i1p1f1,21,counterfactual,2012-11-16 00:00:00,70.22536,145.1875,0.05836684004810122,0.0,0.017928802552343637,0.0,0.0
r1i1p1f1,22,counterfactual,2013-02-15 00:00:00,29.915493,66.14286,0.100973660602372,0.0,0.0,0.0,0.050608366214743294
r1i1p1f1,23,counterfactual,2013-10-16 12:00:00,-14.66197,310.25,0.6393978484785041,0.037560488675392856,0.0,0.36210860975201675,0.8842714893201022
r1i1p1f1,24,counterfactual,2013-11-16 00:00:00,40.183098,243.3125,0.20325739423323852,0.0,0.0,0.00037916728983278247,0.0
r1i1p1f1,25,counterfactual,2014-02-15 00:00:00,37.014076,272.77274,0.0009253135876660101,0.0,0.0,0.0,0.0
r1i1p1f1,26,counterfactual,2014-02-15 00:00:00,67.11267,170.20833,0.3294219892312198,0.0008428009467815745,0.108914451100117,0.0,0.0
r1i1p1f1,27,counterfactual,2014-04-16 00:00:00,52.10002,49.7191,0.6224045828791878,0.011849361496043875,0.19900002075206058,0.0,0.0
r1i1p1f1,28,counterfactual,2014-10-16 12:00:00,-16.608887,306.98718,0.7307904967158636,0.005340387145617687,0.23904321749975477,0.10967878752445537,0.7870635544406228
r2i1p1f1,0,factual,2005-01-16 12:00:00,15.541948,29.619566,0.70449845341029,0.9881186960083476,0.951399763757254,0.6564854356028914,0.6059576156332844
r2i1p1f1,1,factual,2006-05-16 12:00:00,-72.3353,147.09677,0.9235835652648611,0.7398122694496456,0.0,0.914651955914181,0.9999999941192137
