member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_adjusted_thermo_DL_gaussian,pn_analogue_sparse_gaussian,pn_analogue_sparse_adjusted_gaussian
r1i1p1f1,0,factual,2004-02-15 12:00:00,43.774647,50.75,0.8687487334780514,0.9286117520490639,0.2533354455103236,0.7854857339773937,0.9821424408723474,0.3012096481468831,0.9116741056358189,0.799551914947807
r1i1p1f1,1,factual,2004-06-16 00:00:00,-72.35103,43.23077,0.7208763116210621,0.7616286811033783,0.0,0.8766260292216679,0.9959130783558887,0.9998922403460614,0.9999631004372124,0.9999364220952563
r1i1p1f1,2,factual,2004-12-16 12:00:00,63.05801,151.65254,0.8884479509240867,0.9959773883506032,0.9999895540386163,0.9692016553133412,0.9999999998655877,1.0,0.9999988377570603,0.9999983220456214
r1i1p1f1,3,factual,2005-05-16 12:00:00,-19.54471,21.744186,0.6424604113543284,0.9959620462289083,0.9999999999926181,0.9871450156372207,0.9999786548687478,1.0,0.9999999982733283,0.9999999989390218
r1i1p1f1,4,factual,2006-04-16 00:00:00,51.557922,75.0,0.9777538777249835,0.8721582942990905,0.0,0.3951080257013494,0.8815521373167805,0.999458293009492,0.9983998361984098,0.9963342925764752
r1i1p1f1,5,factual,2006-12-16 12:00:00,52.57959,289.45206,0.9524195300303854,0.9956115409421696,0.9949295515700847,0.9925443078635774,1.0,1.0,0.9999999905898541,0.9999999907546099
r1i1p1f1,6,factual,2008-01-16 12:00:00,64.198456,69.65909,0.9993347108365538,0.9497540111792311,0.9960982509658405,0.9830571512667359,0.9997234297419774,0.9999594307207186,0.9991732808518348,0.9976253730958473
r1i1p1f1,7,factual,2008-07-16 12:00:00,-83.123245,76.3125,0.9423587848987033,0.8174511446999224,0.7194610781913424,0.8735334497738599,0.9475020429436775,0.9995554009686508,0.9987023552426386,0.9979735643302247
r1i1p1f1,8,factual,2009-01-16 12:00:00,68.59156,310.1389,0.9938904703173123,0.9883128534961962,0.0,0.9833431147775338,0.9996009641325391,0.999921464841988,0.9999999833659673,0.999999990597118
r1i1p1f1,9,factual,2009-07-16 12:00:00,21.218615,81.25,0.9302403673897031,0.9978611251116141,0.9996783632567108,0.9631049834984138,0.9998321144683527,1.0,0.9664777151055255,0.9103491190356747
r1i1p1f1,10,factual,2009-11-16 00:00:00,-14.2922535,312.8125,0.8839679523420675,0.999853063754956,0.0,0.9999808539212077,0.9999999504300698,1.0,0.9999999886245836,0.9999999924386659
r1i1p1f1,11,factual,2009-11-16 00:00:00,17.267609,8.222222,0.7587163592239398,0.9958365448414737,0.8048908423627117,0.9471737984732634,0.9948744249308464,0.9998843823746879,0.9892966194965079,0.9625972612309864
r1i1p1f1,12,factual,2010-01-16 12:00:00,-0.15845072,21.328125,0.584256137471336,0.9999952437722838,0.0,0.9999997413557907,0.9999999999999994,1.0,0.9999999993175441,0.9999999984791442
r1i1p1f1,13,factual,2010-02-15 00:00:00,-24.671364,137.22223,0.6285062234128933,0.9816649867162,0.0,0.9183104124162396,0.9988857585667281,0.9999520933913316,0.9999896706211107,0.9999774599943838
