member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian
r1i1p1f1,50,factual,1996-01-16 12:00:00,71.08344,93.46154,0.43198698667441215,0.9532233572453731
r1i1p1f1,51,factual,1996-02-15 12:00:00,15.544848,352.3684,0.5522902974690269,0.9938487210103916
r1i1p1f1,52,factual,1996-02-15 12:00:00,41.770622,263.33334,0.982574240180634,0.8407705543242858
r1i1p1f1,53,factual,1996-07-16 12:00:00,-16.42376,296.30435,0.7053966919707713,0.9976362187855722
r1i1p1f1,54,factual,1996-09-16 00:00:00,-30.032505,131.92308,0.6753796530381486,0.9605191673522008
r1i1p1f1,55,factual,1996-11-16 00:00:00,-2.4295774,297.08334,0.5590769864889338,0.9999999286362021
r1i1p1f1,56,factual,1996-12-16 12:00:00,51.33803,95.0,0.6266384985771924,0.8254804835986997
r1i1p1f1,57,factual,1997-02-15 00:00:00,80.82497,332.9762,0.9950583671058685,0.9167216900702128
r1i1p1f1,58,factual,1999-11-16 00:00:00,-6.5492954,312.91666,0.5813997285396588,0.9999372154340833
r1i1p1f1,59,factual,1999-12-16 12:00:00,77.323944,312.70834,0.958624711337517,0.945794383763525
r1i1p1f1,60,factual,2000-04-16 00:00:00,36.201324,43.308823,0.0,0.9710186286190999
r1i1p1f1,61,factual,2001-11-16 00:00:00,36.760563,81.875,0.7824315343482879,0.9692020569541644
r1i1p1f1,62,factual,2002-02-15 00:00:00,27.306337,65.9375,0.9512371732060736,0.9899897597411362
r1i1p1f1,63,factual,2002-02-15 00:00:00,28.249496,49.761906,0.8527861967436021,0.9886217060785573
r1i1p1f1,64,factual,2003-02-15 00:00:00,13.482716,13.068182,0.7623959859229876,0.9922762192736053
r1i1p1f1,65,factual,2003-03-16 12:00:00,42.631577,61.973682,0.9309162089437162,0.8849014491316717
r1i1p1f1,66,factual,2003-12-16 12:00:00,69.114685,123.21429,0.9826258834100247,0.9761712720411165
r1i1p1f1,67,factual,2004-02-15 12:00:00,43.774647,50.75,0.811695003108994,0.9286117520490639
r1i1p1f1,68,factual,2004-03-16 12:00:00,79.93372,288.38235,0.9564635096013777,0.9823319247504176
r1i1p1f1,69,factual,2004-06-16 00:00:00,-72.35103,43.23077,0.9981292940547051,0.7616286811033783
r1i1p1f1,70,factual,2004-07-16 12:00:00,-20.281693,131.44737,0.7962019435121737,0.9701473878189865
r1i1p1f1,71,factual,2004-12-16 12:00:00,63.05801,151.65254,0.9905147726272289,0.9959773883506032
r1i1p1f1,72,factual,2005-02-15 00:00:00,-25.56338,126.875,0.9605330736762199,0.9275127519515505
r1i1p1f1,73,factual,2005-03-16 12:00:00,-79.66414,150.0,0.7109161380871465,0.7883903413608967
r1i1p1f1,74,factual,2005-05-16 12:00:00,-19.54471,21.744186,0.8096763297293881,0.9959620462289083
r1i1p1f1,75,factual,2005-08-16 12:00:00,-81.61971,235.0,0.9784189773870572,0.625358914463684
r1i1p1f1,76,factual,2005-08-16 12:00:00,-80.70422,271.80554,0.9196136583062926,0.9383490131947599
r1i1p1f1,77,factual,2005-08-16 12:00:00,-76.71771,225.65218,0.8610423561164731,0.5933444178819778
r1i1p1f1,78,factual,2005-10-16 12:00:00,43.22535,252.0,0.5687428609582297,0.8938281548816315
r1i1p1f1,79,factual,2005-12-16 12:00:00,-6.443661,321.04166,0.5289104555280574,0.9999980895903312
r1i1p1f1,80,factual,2005-12-16 12:00:00,-0.19501622,306.53845,0.5902424019282579,0.9998714439977903
r1i1p1f1,81,factual,2006-02-15 00:00:00,51.126755,101.5,0.6584253151689312,0.9070783811592016
r1i1p1f1,82,factual,2006-04-16 00:00:00,51.557922,75.0,0.9962729705101577,0.8721582942990905
r1i1p1f1,83,factual,2006-12-16 12:00:00,52.57959,289.45206,0.747605051793494,0.9956115409421696
r1i1p1f1,84,factual,2006-12-16 12:00:00,65.91549,179.79167,0.9756621054679712,0.996341389525973
r1i1p1f1,85,factual,2007-02-15 00:00:00,51.100353,12.8125,0.8711529665002233,0.8666439403007595
r1i1p1f1,86,factual,2007-02-15 00:00:00,70.684105,115.95238,0.8813914109605528,0.9633134506951408
r1i1p1f1,87,factual,2007-03-16 12:00:00,13.56338,44.75,0.7818763019554869,0.9900232079709756
r1i1p1f1,88,factual,2007-07-16 12:00:00,-19.160347,136.0577,0.7982224970814957,0.966236636282291
r1i1p1f1,89,factual,2008-01-16 12:00:00,64.198456,69.65909,0.9998972130147793,0.9497539717378539
r1i1p1f1,90,factual,2008-02-15 12:00:00,30.211267,262.70834,0.8644906164754239,0.8625801725158978
r1i1p1f1,91,factual,2008-07-16 12:00:00,-83.123245,76.3125,0.839874195589042,0.8174511446999224
r1i1p1f1,92,factual,2008-07-16 12:00:00,-73.29065,66.36364,0.9892558447609865,0.7612384404466268
r1i1p1f1,93,factual,2008-07-16 12:00:00,-67.69014,57.0,0.9531847115760647,0.7751050044164788
r1i1p1f1,94,factual,2008-11-16 00:00:00,70.05633,149.83333,0.9992590147217183,0.9861248732686576
r1i1p1f1,95,factual,2009-01-16 12:00:00,68.59156,310.1389,0.9957200634482082,0.9883128534961962
r1i1p1f1,96,factual,2009-04-16 00:00:00,17.366198,103.5,0.8796352122913561,0.9571219204242648
r1i1p1f1,97,factual,2009-07-16 12:00:00,-37.8169,296.45834,0.8600586669405016,0.5615340261402779
r1i1p1f1,98,factual,2009-07-16 12:00:00,21.218615,81.25,0.9810056464620072,0.9978611251116141
r1i1p1f1,99,factual,2009-08-16 12:00:00,27.6338,79.5,0.9750757579466538,0.9825365010303269
r1i1p1f1,100,factual,2009-09-16 00:00:00,-77.32395,155.25,0.7605547591267554,0.7566578123555897
r1i1p1f1,101,factual,2009-11-16 00:00:00,-14.2922535,312.8125,0.9078080317069269,0.999853063754956
r1i1p1f1,102,factual,2009-11-16 00:00:00,17.267609,8.222222,0.8860594635688517,0.9958365448414737
r1i1p1f1,103,factual,2009-12-16 12:00:00,-21.261208,296.81818,0.7676298452000285,0.9959406389008096
r1i1p1f1,104,factual,2009-12-16 12:00:00,37.847076,105.47619,0.8646139271876658,0.9608038359559794
r1i1p1f1,105,factual,2010-01-16 12:00:00,-29.281689,22.75,0.7982307258729399,0.9778888541020906
r1i1p1f1,106,factual,2010-01-16 12:00:00,-25.296999,147.06522,0.7263365702276124,0.9741598391557591
r1i1p1f1,107,factual,2010-01-16 12:00:00,-0.15845072,21.328125,0.7616327381932866,0.9999952437722838
r1i1p1f1,108,factual,2010-01-16 12:00:00,11.27732,7.586207,0.7559249508124969,0.998785756815859
r1i1p1f1,109,factual,2010-02-15 00:00:00,-24.671364,137.22223,0.9425398171694773,0.9816649867162
r1i1p1f1,110,factual,2010-02-15 00:00:00,1.9014086,13.541667,0.6103530329538703,0.9999992183941943
r1i1p1f1,111,factual,2010-03-16 12:00:00,0.9507043,114.166664,0.8351753253570275,0.9999999991465928
r1i1p1f1,112,factual,2010-03-16 12:00:00,4.2061462,31.136364,0.7472442576060738,0.9985274543399474
r1i1p1f1,113,factual,2010-03-16 12:00:00,30.489252,54.210526,0.8794047181749907,0.9896927284843905
r1i1p1f1,114,factual,2010-04-16 00:00:00,18.887325,348.75,0.9096675880210544,0.9944886437860975
r1i1p1f1,115,factual,2010-04-16 00:00:00,22.586428,35.454544,0.8235328620816942,0.9974456626946431
r1i1p1f1,116,factual,2010-06-16 00:00:00,-80.511604,340.34927,0.999795043474137,0.8276060802881613
r1i1p1f1,117,factual,2010-06-16 00:00:00,-77.601234,11.666667,0.9975416495548785,0.8000685815268175
r1i1p1f1,118,factual,2010-08-16 12:00:00,-26.396023,26.17647,0.960095609701924,0.9737009567897219
r1i1p1f1,119,factual,2010-09-16 00:00:00,-81.919014,217.8125,0.9898679738516115,0.5582061888882752
r1i1p1f1,120,factual,2010-09-16 00:00:00,-28.896233,124.84694,0.9241302751056161,0.9870024363174175
r1i1p1f1,121,factual,2010-12-16 12:00:00,68.38157,245.68182,0.9849713298432631,0.9788105051818894
r1i1p1f1,122,factual,2011-01-16 12:00:00,31.99744,266.21213,0.9869224603682422,0.8977447479804633
r1i1p1f1,123,factual,2011-03-16 12:00:00,25.885841,255.78947,0.7984357484682477,0.9726029013869872
r1i1p1f1,124,factual,2011-03-16 12:00:00,43.298737,272.89474,0.9971570519958767,0.9490164418824417
r1i1p1f1,125,factual,2011-05-16 12:00:00,-72.69718,85.125,0.9889799592711899,0.5232626034291997
r1i1p1f1,126,factual,2011-05-16 12:00:00,-75.06036,128.39285,0.9783107572021583,0.65552860764753
r1i1p1f1,127,factual,2011-12-16 12:00:00,66.50054,271.53845,0.9982752939559215,0.965977769386464
r1i1p1f1,128,factual,2011-12-16 12:00:00,71.10115,252.5,0.9990846193508188,0.977374893802723
r1i1p1f1,129,factual,2012-03-16 12:00:00,-31.436625,120.833336,0.8754102768158545,0.9398406494967716
r1i1p1f1,130,factual,2012-03-16 12:00:00,32.233402,115.2381,0.9690413740645325,0.9716186345888825
r1i1p1f1,131,factual,2012-04-16 00:00:00,54.3322,26.077587,0.9463625694868074,0.9739521365832259
r1i1p1f1,132,factual,2012-07-16 12:00:00,-75.44517,96.875,0.999606273167547,0.6143667083749145
r1i1p1f1,133,factual,2012-11-16 00:00:00,70.22536,145.1875,0.9972027806080807,0.9971229981339607
r1i1p1f1,134,factual,2013-01-16 12:00:00,36.488934,60.714287,0.9934423812859119,0.9736988676908606
r1i1p1f1,135,factual,2013-02-15 00:00:00,29.915493,66.14286,0.9862403328161823,0.986191818318704
r1i1p1f1,136,factual,2013-10-16 12:00:00,-14.66197,310.25,0.7698752253085763,0.9996382835479752
r1i1p1f1,137,factual,2013-11-16 00:00:00,40.183098,243.3125,0.9999998200665611,0.9776797909766521
r1i1p1f1,138,factual,2014-02-15 00:00:00,24.71831,106.666664,0.9999156193285716,0.9756130252520838
r1i1p1f1,139,factual,2014-02-15 00:00:00,37.014076,272.77274,0.9990826542820717,0.9119743181712172
r1i1p1f1,140,factual,2014-02-15 00:00:00,67.11267,170.20833,0.9999252673385514,0.9930399572290358
r1i1p1f1,141,factual,2014-04-16 00:00:00,52.10002,49.7191,0.9129059777693239,0.965068162068647
r1i1p1f1,142,factual,2014-06-16 00:00:00,-17.990248,25.576923,0.9998415275335154,0.997961812630706
r1i1p1f1,143,factual,2014-08-16 12:00:00,-18.169012,144.0,0.8888276490580389,0.9971263871510885
r1i1p1f1,144,factual,2014-08-16 12:00:00,-8.315493,292.4,0.9751336204551472,0.9999983284418352
r1i1p1f1,145,factual,2014-10-16 12:00:00,-16.608887,306.98718,0.9999999006357478,0.9982137294628093
r1i1p1f1,146,factual,2014-10-16 12:00:00,-6.464789,31.0,0.9988250764386194,0.9999950018843289
r1i1p1f1,0,counterfactual,1980-02-15 12:00:00,27.477217,87.94118,0.1941188296436308,0.12162676045053111
r1i1p1f1,1,counterfactual,1980-02-15 12:00:00,36.96071,92.63158,0.04292404271877992,0.0
r1i1p1f1,2,counterfactual,1980-08-16 12:00:00,-4.7323947,293.33334,0.22051638488124914,0.13719428697807812
r1i1p1f1,3,counterfactual,1981-03-16 12:00:00,17.597347,355.7353,0.018587062120452913,0.04795659274569819
r1i1p1f1,4,counterfactual,1981-03-16 12:00:00,20.757042,2.5,0.10152295877225503,0.07000198263532897
r1i1p1f1,5,counterfactual,1981-04-16 00:00:00,-76.1469,156.42857,0.0,7.845975554887641e-05
r1i1p1f1,6,counterfactual,1982-03-16 12:00:00,27.676058,113.19444,0.011270300547575607,0.018505380952593242
r1i1p1f1,7,counterfactual,1982-07-16 12:00:00,-77.07042,264.15625,0.697900119161334,0.0
r1i1p1f1,8,counterfactual,1982-07-16 12:00:00,-77.830986,121.5,0.00947250057386051,0.0
r1i1p1f1,9,counterfactual,1983-01-16 12:00:00,69.60307,287.72726,0.3587726790704556,0.1510477166199089
r1i1p1f1,10,counterfactual,1983-09-16 00:00:00,-33.295776,297.5,0.0237965169100689,0.0
r1i1p1f1,11,counterfactual,1984-02-15 12:00:00,40.309856,29.833334,0.0730670918834686,0.018484159237639575
r1i1p1f1,12,counterfactual,1984-05-16 12:00:00,-77.63853,37.81022,0.5442808881863441,0.0
r1i1p1f1,13,counterfactual,1984-12-16 12:00:00,56.69654,293.0303,0.002150377458127628,0.003460016775043262
r1i1p1f1,14,counterfactual,1984-12-16 12:00:00,65.800255,289.54544,0.0,0.01623641270750953
r1i1p1f1,15,counterfactual,1986-01-16 12:00:00,61.01792,40.56818,0.0,0.0
r1i1p1f1,16,counterfactual,1986-03-16 12:00:00,47.47054,10.051021,0.04710976324626004,0.0014236125344267991
r1i1p1f1,17,counterfactual,1986-08-16 12:00:00,-72.04226,294.375,0.0030452405626943957,0.0
